activity,sleep status
0,nan
143,nan
0,nan
20,nan
166,nan
160,nan
17,nan
646,nan
978,nan
306,nan
277,nan
439,nan
130,nan
32,nan
184,nan
454,nan
783,nan
386,nan
306,nan
120,nan
268,nan
268,nan
204,nan
485,nan
485,nan
328,nan
61,nan
172,nan
1221,nan
783,nan
398,nan
469,nan
190,nan
242,nan
242,nan
212,nan
91,nan
116,nan
259,nan
667,nan
783,nan
469,nan
485,nan
587,nan
568,nan
306,nan
134,nan
242,nan
139,nan
235,nan
197,nan
667,nan
517,nan
328,nan
759,nan
8,nan
306,nan
689,nan
469,nan
197,nan
306,nan
286,nan
12,nan
0,nan
130,nan
160,nan
296,nan
317,nan
338,nan
277,nan
88,nan
79,nan
197,nan
154,nan
172,nan
250,nan
398,nan
52,nan
38,nan
70,nan
8,nan
517,nan
14,nan
178,nan
250,nan
67,nan
190,nan
296,nan
190,nan
184,nan
154,nan
349,nan
197,nan
286,nan
197,nan
242,nan
689,nan
166,nan
32,nan
398,nan
485,nan
296,nan
469,nan
398,nan
296,nan
809,nan
948,nan
712,nan
835,nan
349,nan
712,nan
667,nan
667,nan
485,nan
361,nan
361,nan
0,nan
0,nan
0,nan
0,nan
0,nan
0,nan
21,nan
67,nan
88,nan
43,nan
485,nan
568,nan
550,nan
328,nan
64,nan
58,nan
116,nan
11,nan
82,nan
250,nan
172,nan
306,nan
227,nan
120,nan
61,nan
172,nan
533,nan
919,nan
862,nan
139,nan
64,nan
58,nan
373,nan
469,nan
286,nan
98,nan
120,nan
134,nan
550,nan
411,nan
0,nan
0,nan
73,nan
0,nan
1146,nan
1010,nan
689,nan
268,nan
454,nan
44,nan
204,nan
0,nan
349,nan
500,nan
268,nan
626,nan
38,nan
533,nan
469,nan
361,nan
425,nan
306,nan
148,nan
35,nan
38,nan
85,nan
0,nan
38,nan
52,nan
49,nan
338,nan
52,nan
70,nan
0,nan
0,nan
500,nan
517,nan
533,nan
411,nan
286,nan
646,nan
712,nan
1341,nan
1570,nan
306,nan
154,nan
116,nan
411,nan
82,nan
250,nan
120,nan
306,nan
73,nan
17,nan
259,nan
349,nan
111,nan
178,nan
219,nan
277,nan
349,nan
277,nan
116,nan
0,nan
517,nan
0,nan
52,nan
0,nan
12,nan
11,nan
0,nan
24,nan
139,nan
143,nan
0,nan
587,nan
64,nan
116,nan
14,nan
8,nan
134,nan
14,nan
23,nan
61,nan
15,nan
0,nan
0,nan
646,nan
587,nan
439,nan
197,nan
425,nan
361,nan
338,nan
338,nan
306,nan
98,nan
32,nan
160,nan
306,nan
250,nan
0,nan
55,nan
107,nan
35,nan
52,nan
0,nan
32,nan
227,nan
411,nan
517,nan
439,nan
317,nan
242,nan
317,nan
130,nan
0,nan
79,nan
0,nan
38,nan
143,nan
190,nan
12,nan
70,nan
70,nan
386,nan
197,nan
9,nan
0,nan
411,nan
759,nan
259,nan
1111,nan
1182,nan
890,nan
500,nan
328,nan
38,nan
0,nan
76,nan
166,nan
8,nan
0,nan
12,nan
306,nan
286,nan
809,nan
61,nan
212,nan
154,nan
373,nan
783,nan
550,nan
485,nan
219,nan
306,nan
386,nan
64,nan
20,nan
8,nan
0,nan
58,nan
317,nan
500,nan
134,nan
469,nan
0,nan
52,nan
485,nan
242,nan
8,nan
52,nan
20,nan
130,nan
178,nan
3,nan
469,nan
98,nan
386,nan
533,nan
204,nan
61,nan
44,nan
286,nan
40,nan
227,nan
52,nan
154,nan
107,nan
32,nan
49,nan
277,nan
88,nan
148,nan
